"word","translation","transcription","level","lang"
"爱","любовь","ài","A1","zh"
"八","восемь","bā","A1","zh"
"爸爸","папа","bàba","A1","zh"
"杯子","чашка, кружка, стакан","bēizi","A1","zh"
"北京","Пекин","Běijīng","A1","zh"
"本","корень; счётное слово для растений и книг","běn","A1","zh"
"不客气","не стесняйтесь","búkèqi","A1","zh"
"不","нет, не","bù","A1","zh"
"菜","овощи, блюдо, пища","cài","A1","zh"
"茶","чай","chá","A1","zh"
"吃","кушать, есть","chī","A1","zh"
"出租车","такси","chūzūchē","A1","zh"
"打电话","звонить по телефону","dǎ diànhuà","A1","zh"
"大","большой, великий, крупный","dà","A1","zh"
"的","суффикс прилагательного, суффикс притяжательности","de","A1","zh"
"点","капля, немножко, точка, запятая, час, момент времени","diǎn","A1","zh"
"电脑","компьютер","diàn nǎo","A1","zh"
"电视","телевидение, телевизионный","diàn shì","A1","zh"
"电影","кино","diàn yǐng","A1","zh"
"东西","вещь, предмет","dōngxi","A1","zh"
"都","все, всё","dōu","A1","zh"
"读","читать, зачитывать; заучивать","dú","A1","zh"
"对不起","виноват, простите, извините","duì bu qǐ","A1","zh"
"多","много, многочисленный, свыше","duō","A1","zh"
"多少","сколько? как много?","duō shao","A1","zh"
"儿子","сын","érzi","A1","zh"
"二","два, второй","èr","A1","zh"
"饭馆","ресторан, столовая","fàn guǎn","A1","zh"
"飞机","самолёт","fēijī","A1","zh"
"分钟","минута","fēn zhōng","A1","zh"
"高兴","радоваться, радостный","gāo xìng","A1","zh"
"个","универсальное счётное слово: отдельный, индивидуальный; штука; этот","gè","A1","zh"
"工作","работать, работа","gōng zuò","A1","zh"
"狗","собака, собачий","gǒu","A1","zh"
"汉语","китайский язык","hànyǔ","A1","zh"
"好","хороший, хорошо, приятный, удобный","hǎo","A1","zh"
"喝","пить","hē","A1","zh"
"和","мирный; союз и; предлог с","hé","A1","zh"
"很","очень, весьма","hěn","A1","zh"
"后面","задняя сторона, зад, позади, сзади, задний","hòumiàn","A1","zh"
"回","возвращаться","huí","A1","zh"
"会","уметь, мочь, владеть; собрание, заседание","huì","A1","zh"
"火车站","вокзал, железнодорожная станция","huǒ chē zhàn","A1","zh"
"几","сколько?, несколько, немного","jǐ","A1","zh"
"家","семья, семейство, дом, домашний","jiā","A1","zh"
"叫","кричать, крик, звать (по имени), подзывать, вызывать","jiào","A1","zh"
"今天","сегодня, нынешний день","jīntiān","A1","zh"
"九","девять, девятый","jiǔ","A1","zh"
"开","открывать, управлять, вести, включать","kāi","A1","zh"
"看","смотреть, читать (про себя), навестить","kàn","A1","zh"
"看见","увидеть, видеть, рассмотреть","kànjiàn","A1","zh"
"块","счётное слово для основных денежных единиц; кусок, глыба","kuài","A1","zh"
"来","приходить, прибывать, приезжать","lái","A1","zh"
"老师","учитель, преподаватель","lǎoshī","A1","zh"
"了","глагольный суффикс завершённости действия","le","A1","zh"
"冷","холодный, холодно, холод","lěng","A1","zh"
"里","внутри, в","lǐ","A1","zh"
"零","ноль, нулевой","líng","A1","zh"
"六","шесть, шестой","liù","A1","zh"
"妈妈","мама","māma","A1","zh"
"吗","фразовая частица, выражающая вопрос","ma","A1","zh"
"买","покупать, приобретать","mǎi","A1","zh"
"猫","кошка","māo","A1","zh"
"没","отрицательная частица нет, не иметь","méi","A1","zh"
